[18:28:30.4974] cted! Chip ID: 0xA0
[18:28:30.4996] BNO055 initialized successfully!
[18:28:30.5010] roll,pitch,yaw,qw,qx,qy,qz,accx,accy,accz,gyrox,gyroy,gyroz,svm,state,z_v,lever_offx,lever_offy
[18:28:37.2614] -19.06,1.81,1.00,0.9860,-0.0137,0.1660,-0.0087,-3.14,-0.23,9.15,-0.62,-1.19,-0.12,9.68,0,1.70,0.0655,0.0048
[18:28:37.3294] -19.00,1.75,1.00,0.9861,-0.0134,0.1655,-0.0087,-3.16,-0.14,9.14,0.44,-1.38,-0.44,9.67,0,1.70,0.0653,0.0047
[18:28:37.3974] -18.94,1.75,1.00,0.9862,-0.0136,0.1649,-0.0087,-3.14,-0.27,9.20,-0.31,-0.75,-0.44,9.72,0,1.70,0.0651,0.0048
[18:28:37.4644] -18.94,1.75,1.00,0.9861,-0.0132,0.1651,-0.0087,-3.27,-0.18,9.21,0.69,0.19,0.06,9.77,0,1.70,0.0652,0.0046
[18:28:37.5334] -18.94,1.69,1.00,0.9861,-0.0131,0.1651,-0.0087,-3.18,-0.21,9.21,-0.44,0.44,0.00,9.75,0,1.70,0.0652,0.0046
[18:28:37.6034] -18.94,1.69,1.00,0.9862,-0.0132,0.1649,-0.0087,-3.22,-0.14,9.12,-0.31,-0.94,0.19,9.67,0,1.70,0.0651,0.0046
[18:28:37.6735] -18.88,1.81,1.00,0.9862,-0.0139,0.1646,-0.0087,-3.16,-0.24,9.23,-0.50,-0.62,0.25,9.76,0,1.70,0.0650,0.0049
[18:28:37.7435] -18.94,1.75,1.00,0.9861,-0.0135,0.1649,-0.0087,-3.23,-0.22,9.20,0.88,1.62,0.44,9.75,0,1.70,0.0651,0.0048
[18:28:37.8095] -19.00,1.75,1.00,0.9861,-0.0132,0.1653,-0.0087,-3.22,-0.21,9.19,-0.12,0.94,-0.38,9.74,0,1.70,0.0653,0.0047
[18:28:37.8809] -18.94,1.75,1.00,0.9861,-0.0135,0.1650,-0.0087,-3.18,-0.23,9.19,0.12,-1.00,0.50,9.73,0,1.70,0.0651,0.0047
[18:28:37.9455] -18.94,1.69,1.00,0.9861,-0.0131,0.1650,-0.0087,-3.22,-0.22,9.16,1.19,0.75,0.19,9.71,0,1.70,0.0651,0.0046
[18:28:38.0124] -18.94,1.69,1.00,0.9862,-0.0128,0.1648,-0.0088,-3.19,-0.19,9.17,0.06,-1.12,0.12,9.71,0,1.70,0.0651,0.0045
[18:28:38.0785] -18.88,1.69,1.00,0.9863,-0.0128,0.1645,-0.0088,-3.19,-0.18,9.23,-0.50,0.00,-0.25,9.77,0,1.70,0.0649,0.0045
[18:28:38.1475] -18.88,1.69,1.00,0.9863,-0.0126,0.1645,-0.0088,-3.15,-0.20,9.15,0.75,-0.06,0.12,9.68,0,1.70,0.0649,0.0044
[18:28:38.2134] -18.88,1.62,1.00,0.9863,-0.0126,0.1645,-0.0088,-3.20,-0.18,9.17,0.06,-0.31,0.25,9.71,0,1.70,0.0649,0.0044
[18:28:38.2805] -18.88,1.62,1.00,0.9863,-0.0126,0.1644,-0.0088,-3.20,-0.22,9.21,0.25,-0.06,-0.12,9.75,0,1.70,0.0649,0.0044
[18:28:38.3485] -18.88,1.62,1.00,0.9863,-0.0125,0.1644,-0.0089,-3.15,-0.15,9.13,0.19,0.62,-0.19,9.66,0,1.70,0.0649,0.0043
[18:28:38.4164] -18.88,1.62,1.00,0.9863,-0.0123,0.1645,-0.0089,-3.21,-0.16,9.19,-0.38,-0.12,-0.12,9.74,0,1.70,0.0649,0.0043
[18:28:38.4864] -18.88,1.62,1.00,0.9863,-0.0123,0.1642,-0.0089,-3.18,-0.20,9.18,-0.31,-0.56,-0.25,9.72,0,1.70,0.0648,0.0043
