[17:18:43.5154] Roll: 8.18 | Pitch: -66.91 | Yaw: -482.78
[17:18:43.5414] Roll: 11.69 | Pitch: -68.29 | Yaw: -488.00
[17:18:43.5673] Roll: 14.99 | Pitch: -69.63 | Yaw: -493.22
[17:18:43.5933] Roll: 7.35 | Pitch: -73.34 | Yaw: -493.53
[17:18:43.6194] Roll: 10.86 | Pitch: -74.49 | Yaw: -498.75
[17:18:43.6452] Roll: 14.16 | Pitch: -65.24 | Yaw: -503.97
[17:18:43.6716] Roll: 17.25 | Pitch: -56.32 | Yaw: -509.19
[17:18:43.6974] Roll: 20.14 | Pitch: -58.07 | Yaw: -514.42
[17:18:43.7235] Roll: 22.84 | Pitch: -59.77 | Yaw: -519.64
[17:18:43.7495] Roll: 14.63 | Pitch: -63.84 | Yaw: -519.94
[17:18:43.7752] Roll: 6.87 | Pitch: -67.77 | Yaw: -520.25
[17:18:43.8011] Roll: 10.28 | Pitch: -69.12 | Yaw: -525.47
[17:18:43.8273] Roll: 13.47 | Pitch: -70.42 | Yaw: -530.69
[17:18:43.8531] Roll: 16.47 | Pitch: -71.67 | Yaw: -535.92
[17:18:43.8791] Roll: 19.27 | Pitch: -62.51 | Yaw: -541.14
[17:18:43.9051] Roll: 21.88 | Pitch: -64.04 | Yaw: -546.36
[17:18:43.9302] Roll: 24.32 | Pitch: -55.15 | Yaw: -551.58
[17:18:43.9564] Roll: 26.58 | Pitch: -56.96 | Yaw: -556.81
[17:18:43.9833] Roll: 17.96 | Pitch: -61.14 | Yaw: -557.11
[17:18:44.0085] Roll: 9.80 | Pitch: -65.17 | Yaw: -557.42
[17:18:44.0343] Roll: 12.84 | Pitch: -56.25 | Yaw: -562.64
[17:18:44.0601] Roll: 15.67 | Pitch: -58.02 | Yaw: -567.86
[17:18:44.0864] Roll: 18.33 | Pitch: -49.37 | Yaw: -573.08
[17:18:44.1121] Roll: 20.81 | Pitch: -41.03 | Yaw: -578.31
[17:18:44.1382] Roll: 12.39 | Pitch: -45.82 | Yaw: -578.61
[17:18:44.1643] Roll: 15.17 | Pitch: -47.99 | Yaw: -583.83
[17:18:44.1905] Roll: 17.77 | Pitch: -39.73 | Yaw: -589.06
[17:18:44.2168] Roll: 20.19 | Pitch: -42.15 | Yaw: -594.28
[17:18:44.2425] Roll: 22.45 | Pitch: -44.48 | Yaw: -599.50
[17:18:44.2685] Roll: 24.56 | Pitch: -36.38 | Yaw: -604.72
[17:18:44.2944] Roll: 26.50 | Pitch: -28.58 | Yaw: -609.95
[17:18:44.3204] Roll: 28.31 | Pitch: -21.07 | Yaw: -615.17
[17:18:44.3465] Roll: 19.24 | Pitch: -26.67 | Yaw: -615.47
[17:18:44.3723] Roll: 21.40 | Pitch: -29.63 | Yaw: -620.70
[17:18:44.3983] Roll: 23.41 | Pitch: -22.14 | Yaw: -625.92
[17:18:44.4246] Roll: 25.27 | Pitch: -25.30 | Yaw: -631.14
[17:18:44.4518] Roll: 27.00 | Pitch: -30.80 | Yaw: -636.36
[17:18:44.4761] Roll: 28.58 | Pitch: -33.67 | Yaw: -641.59
[17:18:44.5024] Roll: 19.32 | Pitch: -38.90 | Yaw: -641.89
[17:18:44.5287] Roll: 21.29 | Pitch: -41.50 | Yaw: -647.11
[17:18:44.5536] Roll: 23.11 | Pitch: -44.01 | Yaw: -652.34
[17:18:44.5803] Roll: 14.08 | Pitch: -48.88 | Yaw: -652.64
[17:18:44.6053] Roll: 16.28 | Pitch: -51.13 | Yaw: -657.86
[17:18:44.6315] Roll: 18.32 | Pitch: -42.94 | Yaw: -663.09
[17:18:44.6573] Roll: 20.23 | Pitch: -45.42 | Yaw: -668.31
[17:18:44.6846] Roll: 22.00 | Pitch: -37.44 | Yaw: -673.53
[17:18:44.7095] Roll: 23.64 | Pitch: -40.13 | Yaw: -678.75
[17:18:44.7351] Roll: 25.16 | Pitch: -42.72 | Yaw: -683.97
